5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
97572,σ08296,σφύραινα,n,n-s---fn1s,σφύραινας,,,,,0
97573,σ08297,σφυράς,n,----------,,,,,,0
97574,σ08298,σφυρηδόν,r,----------,,,,,,0
97575,σ08299,σφυρηλατέω,v,----------,,,,,,0
97577,σ08301,σφυρίδιον,n,n-s---nn2-,σφυριδίου,,,,,0
97579,σ08303,σφυρίον,n,----------,,,,,,0
97580,σ08304,σφυρίον,n,n-s---nn2-,σφυρίου,,,,,0
97581,σ08305,σφυρίς,n,n-s---fn3d,σφυρίδος,,,,,0
97582,σ08306,σφυρόβολος,n,n-s---mn2-,σφυροβόλου,,,,,0
97583,σ08307,σφυροκόπανον,n,n-s---nn2-,σφυροκοπάνου,,,,,0
97584,σ08308,σφυροκοπεῖον,n,n-s---nn2-,σφυροκοπείου,,,,,0
97585,σ08309,σφυροκοπέω,v,----------,,,,,,0
97586,σ08310,σφυροκοπία,n,n-s---fn1l,σφυροκοπίας,,,,,0
97588,σ08312,σφυροκτυπέω,v,----------,,,,,,0
97589,σ08313,σφυρόν,n,n-s---nn2-,,,,,,0
97590,σ08314,σφυρόομαι,v,----------,,,,,,0
97539,σ08261,σφονδυλόμαντις,n,----------,,,,,,0
97593,σ08317,σφυροτομέω,v,----------,,,,,,0
97594,σ08318,σφύρωσις,n,----------,,,,,,0
97596,σ08320,σφύσδω,v,----------,,,,,,0
97597,σ08321,σφύττω,v,----------,,,,,,0
97598,σ08322,σφώ,n,n-s---fn3-,,,,,,0
97599,σ08323,σφωέ,a,----------,,,,,,0
97600,σ08231,σφῶϊ,n,----------,,,,,,0
97601,σ08324,σφωί̈τερος,a,----------,,,,,,0
97602,σ08248,σφῷν,n,----------,,,,,,0
97604,σ08326,σχαδών,n,n-s---fn3n,σχαδόνος,,,,,0
97605,σ08327,σχάζω,v,----------,,,,,,0
97606,σ08328,σχαλίδωμα,n,----------,,,,,,0
97607,σ08329,σχαλίζω,v,----------,,,,,,0
97609,σ08331,σχάρα,n,n-s---fn1l,σχάρας,,,,,0
97610,σ08332,σχάς,n,----------,,,,,,0
97611,σ08333,σχάσις,n,----------,,,,,,0
97612,σ08334,σχάσμα,n,n-s---nn3t,σχάσματος,,,,,0
97613,σ08335,σχαστήρ,n,n-s---mn3r,σχαστῆρος,,,,,0
97614,σ08336,σχαστηρία,n,n-s---fn1l,σχαστηρίας,,,,,0
97615,σ08337,σχαστήριον,n,n-s---nn2-,σχαστηρίου,,,,,0
97616,σ08338,σχάστης,n,n-s---mn1e,σχάστου,,,,,0
97618,σ08340,σχεδεκδότης,n,n-s---mn1e,σχεδεκδότου,,,,,0
97619,σ08341,σχέδη,n,n-s---fn1e,σχέδης,,,,,0
97620,σ08342,σχέδην,r,----------,,,,,,0
97621,σ08343,σχεδία,n,n-s---fn1l,σχεδίας,,,,,0
97622,σ08344,σχεδιάζω,v,----------,,,,,,0
97624,σ08346,σχεδιάς,n,n-s---fn3d,σχεδιάδος,,,,,0
97625,σ08347,σχεδίασμα,n,n-s---nn3t,σχεδιάσματος,,,/skʰe.dí.az.ma/,,0
97626,σ08348,σχεδιασμός,n,----------,,,,,,0
97628,σ08350,σχεδίην,r,----------,,,,,,0
97629,σ08351,σχεδικός,a,aps---mn1-,σχεδικός σχεδική σχεδικόν,,,,,0
97630,σ08352,σχέδιος,a,aps---mn1-,σχέδιος σχεδία σχέδιον,,,/skʰé.di.os/,,0
97631,σ08353,σχεδιουργός,n,----------,,,,,,0
97632,σ08354,σχεδισμός,n,----------,,,,,,0
97633,σ08355,σχεδογραφία,n,n-s---fn1l,σχεδογραφίας,,,,,0
97634,σ08356,σχεδόθεν,r,----------,,,,,,0
97635,σ08357,σχεδόν,r,rp--------,σχεδόν,,,/skʰe.dón/,,0
97637,σ08359,σχεδουργός,n,----------,,,,,,0
97639,σ08361,σχέθω,v,----------,,,,,,0
97640,σ08362,σχελίς,n,n-s---fn3d,σχελίδος,,,,,0
97641,σ08363,σχένδυλα,n,n-s---fn1s,σχένδυλας,,,,,0
97642,σ01473,σκενδύλη,n,----------,,,,,,0
97643,σ08364,σχέο,n,----------,,,,,,0
97644,σ08365,σχεράς,n,n-s---fn3d,σχεράδος,,,,,0
97645,σ08366,σχέραφος,n,----------,,,,,,0
97647,σ08367,σχερός,n,----------,,,,,,0
97648,σ08368,σχές,n,----------,,,,,,0
97649,σ08369,σχέσις,n,n-s---fn3v,σχέσεως,,,,,0
97650,σ08370,σχετέος,a,aps---mn1-,σχετέος σχετέα σχετέον,,,,,0
97592,σ08316,σφυροπρησιπύρα,n,n-s---fn1l,σφυροπρησιπύρας,,,,,0
97654,σ08374,σχετλιασμός,n,----------,,,,,,0
97655,σ08375,σχετλιαστικός,a,aps---mn1-,σχετλιαστικός σχετλιαστική σχετλιαστικόν,,,,,0
97656,σ08376,σχετλιοποιός,a,aps---cn2-,σχετλιοποιός σχετλιοποιός σχετλιοποιόν,,,,,0
97657,σ08377,σχέτλιος,a,aps---mn1-,σχέτλιος σχέτλια σχέτλιον,,,/skʰé.tli.os/,,0
97658,σ08378,σχέτο,n,----------,,,,,,0
97659,σ08422,σχῆμα,n,n-s---nn3t,σχήματος,,,/skʰɛ̂ː.ma/,,0
97661,σ08380,σχηματίζω,v,----------,,,,,,0
97662,σ08381,σχηματικός,a,aps---mn1-,σχηματικός σχηματική σχηματικόν,,,,,0
97663,σ08382,σχημάτιον,n,n-s---nn2-,σχηματίου,,,,,0
97664,σ08383,σχημάτισις,n,n-s---fn3v,σχηματισέως,,,,,0
97665,σ08384,σχηματισμός,n,----------,,,,,,0
97666,σ08385,σχηματιστέον,n,----------,,,,,,0
97667,σ08386,σχηματογραφέω,v,----------,,,,,,0
97670,σ08389,σχηματοθήκη,n,n-s---fn1e,σχηματοθήκης,,,,,0
97671,σ08390,σχηματοποιέω,v,----------,,,,,,0
97672,σ08391,σχηματοποιία,n,n-s---fn1l,σχηματοποιίας,,,,,0
97673,σ08392,σχηματότης,n,n-s---fn3t,σχηματότητος,,,,,0
97674,σ08393,σχηματουργέομαι,v,----------,,,,,,0
97675,σ08394,σχηματουργία,n,n-s---fn1l,σχηματουργίας,,,,,0
97676,σ08395,σχιδακηδόν,r,----------,,,,,,0
97678,σ08397,σχιδανόπους,n,----------,,,,,,0
97679,σ08398,σχίδαξ,n,----------,,,,,,0
97680,σ08399,σχίδιον,n,n-s---nn2-,σχιδίου,,,,,0
97681,σ08400,σχίζα,n,n-s---fn1s,,,,,,0
97682,σ08401,σχιζίας,n,n-s---mn1a,σχιζίου,,,,,0
97683,σ08402,σχιζίον,n,n-s---nn2-,σχιζίου,,,,,0
97684,σ08403,σχιζοποδία,n,n-s---fn1l,σχιζοποδίας,,,,,0
97685,σ08404,σχιζόπους,n,----------,,,,,,0
97687,σ08406,σχίζω,v,----------,,,,/skʰíz.dɔː/,,0
97688,σ08407,σχινδάλαμος,n,n-s---mn2-,σχινδαλάμου,,,,,0
97689,σ08408,σχινδύλησις,n,----------,,,,,,0
97690,σ08409,σχίνειος,n,----------,,,,,,0
97691,σ08410,σχινέλαιον,n,n-s---nn2-,σχινελαίου,,,,,0
97692,σ08411,σχινίζω,v,----------,,,,,,0
97693,σ08412,σχίνινος,a,aps---mn1-,σχίνινος σχινίνη σχίνινον,,,,,0
97694,σ08413,σχινίς,n,n-s---fn3d,σχινίδος,,,,,0
97696,σ08423,σχῖνος,n,----------,,,,,,0
97697,σ08415,σχινοτρώκτης,n,n-s---mn1e,σχινοτρώκτου,,,,,0
97698,σ08416,σχίσις,n,n-s---fn3v,σχίσεως,,,/skʰí.sis/,,0
97699,σ08417,σχίσμα,n,n-s---nn3t,σχίσματος,,,/skʰíz.ma/,,0
97701,σ08419,σχισμή,n,n-s---fn1e,σχισμῆς,,,,,0
97702,σ08420,σχισμός,n,----------,,,,,,0
97970,τ00056,ταγώνιον,n,----------,,,,,,0
97653,σ08373,σχετλιάζω,v,----------,,,,,,0
97705,σ08427,σχοινανθᾶτον,n,n-s---nn2-,σχοινανθάτου,,,,,0
97706,σ08425,σχοινάνθη,n,n-s---fn1e,σχοινάνθης,,,,,0
97707,σ08426,σχοινάνθιον,n,n-s---nn2-,σχοινανθίου,,,,,0
97708,σ08464,σχοινᾶς,n,n-s---mn2c,σχοινᾶ,,,,,0
97709,,Σχοινάτας,n,----------,,,,,,0
97710,σ08428,σχοινεύς,n,n-s---mn3v,σχοινέως,,,,,0
97711,,Σχοινῄς,n,----------,,,,,,0
97712,σ08429,σχοινιά,n,n-s---fn1l,σχοινιᾶς,,,,,0
97715,σ08432,σχοινικός,a,aps---mn1-,σχοινικός σχοινική σχοινικόν,,,,,0
97716,σ08433,σχοίνινος,a,aps---mn1-,σχοίνινος σχοινίνη σχοίνινον,,,,,0
97717,σ08434,σχοινίον,n,n-s---nn2-,σχοινίου,,,/skʰoi̯.ní.on/,,0
97718,σ08435,σχοινιοπλόκος,n,n-s---mn2-,σχοινιοπλόκου,,,,,0
97719,σ08436,σχοινιοστρόφος,n,n-s---mn2-,σχοινιοστρόφου,,,,,0
97721,σ08438,σχοινίς,n,----------,,,,,,0
97722,σ08439,σχοινίς,n,n-s---fn3d,σχοινῖδος,,,,,0
97723,σ08440,σχοίνισμα,n,n-s---nn3t,σχοινίσματος,,,,,0
97724,σ08441,σχοινισμός,n,----------,,,,,,0
97725,σ08465,σχοινῖτις,n,n-s---fn3d,σχοινίτιδος,,,,,0
97726,σ08442,σχοινίων,n,n-s---mn3n,σχοινίωνος,,,,,0
97727,σ08443,σχοινοβάτης,n,n-s---mn--,σχοινοβάτου,,,,,0
97728,σ08447,σχοινοίη,n,n-s---fn1e,σχοινοίης,,,,,0
97731,σ08446,σχοινοειδής,a,aps---cn5s,σχοινοειδής σχοινοειδής σχοινοειδές,,,,,0
97732,σ08448,σχοινομέτρησις,n,n-s---fn3v,σχοινομετρησέως,,,,,0
97733,σ08449,σχοινόπλεκτος,a,aps---cn2-,σχοινόπλεκτος σχοινόπλεκτος σχοινόπλεκτον,,,,,0
97735,σ08451,σχοινοπλόκος,n,n-s---mn2-,σχοινοπλόκου,,,,,0
97736,σ08452,σχοινοπώλης,n,n-s---mn1e,σχοινοπώλου,,,,,0
97737,σ08453,σχοινορραφέω,v,----------,,,,,,0
97738,σ08488,σχοῖνος,n,n-s---cn2-,σχοίνου,,,,,0
97739,σ08455,σχοινοστρόφος,a,aps---cn2-,σχοινοστρόφος σχοινοστρόφος σχοινοστρόφον,,,,,0
97740,σ08456,σχοινοτένεια,n,n-s---fn1s,σχοινοτένειας,,,,,0
97741,σ08457,σχοινοτενής,a,aps---cn5s,σχοινοτενής σχοινοτενής σχοινοτενές,,,,,0
97742,σ08458,σχοινότονος,a,aps---cn2-,σχοινότονος σχοινότονος σχοινότονον,,,,,0
97743,σ08459,σχοινουργία,n,n-s---fn1l,σχοινουργίας,,,,,0
97744,σ08460,σχοινουργός,n,----------,,,,,,0
97745,σ08454,σχοινοῦς,n,----------,,,,,,0
97746,σ08461,σχοινοφιλίνδα,r,----------,,,,,,0
97749,σ08466,σχοινώδης,a,aps---cn3s,σχοινώδης σχοινώδης σχοινώ͂δες,,,,,0
97750,σ08467,σχολάζω,v,----------,,,,,,0
97751,σ08469,σχολαῖος,a,aps---mn1-,σχολαῖος σχολαῖα σχολαῖον,,,,,0
97752,σ08468,σχολαιότης,n,n-s---fn3t,σχολαιότητος,,,,,0
98080,,Τάν,n,----------,,,,,,0
97704,σ08424,σχοίατο,n,----------,,,,,,0
97757,σ08474,σχολαστήριον,n,n-s---nn2-,σχολαστηρίου,,,,,0
97758,σ08475,σχολαστής,n,n-s---mn1e,σχολαστού,,,,,0
97760,σ08477,σχολεαῖον,n,----------,,,,,,0
97761,σ08478,σχολεῖον,n,n-s---nn2-,σχολείου,,,,,0
97762,σ08479,σχολερός,a,aps---mn1-,σχολερός σχολερά σχολερόν,,,,,0
97763,σ08480,σχολή,n,n-s---fn1e,σχολῆς,,,/skʰo.lɛ̌ː/,,0
97764,σ08481,σχολιάζω,v,----------,,,,,,0
97765,σ08482,σχολιαστής,n,n-s---mn1e,σχολιαστού,,,,,0
97766,σ08483,σχολικός,a,aps---mn1-,σχολικός σχολική σχολικόν,,,,,0
97767,σ08484,σχολιογράφος,n,n-s---mn2-,σχολιογράφου,,,,,0
97768,σ08485,σχόλιον,n,n-s---nn2-,σχολίου,,,/skʰó.li.on/,,0
97769,σ08486,σχολύδριον,n,n-s---nn2-,σχολυδρίου,,,,,0
97770,σ08487,σχόμενος,n,n-s---mn2-,σχομένου,,,,,0
97771,σ08490,σωδάριον,n,n-s---nn2-,σωδαρίου,,,,,0
97772,σ00452,σῶδες,n,n-p---fn1l,σωδῶν,,,,,0
97773,σ08491,σωζόπολις,n,----------,,,,,,0
97774,σ00666,σῴζω,v,----------,,,,/sɔːí̯z.dɔː/,,0
97776,σ08493,σωκέω,v,----------,,,,,,0
97777,σ01937,σῶκος,n,n-s---mn2-,σώκου,,,,,0
97778,,Σωκρατεῖον,n,n-s---nn2-,Σωκρατείου,,,,,0
97779,,Σωκρατέω,v,----------,,,,,,0
97780,,Σωκράτης,n,n-s---mn3-,Σωκράτου,,,/sɔː.krá.tɛːs/,,0
97781,,Σωκρατίζω,v,----------,,,,,,0
97783,,Σωκρατιστής,n,n-s---mn1e,Σωκρατιστού,,,,,0
97785,σ08494,σωλάριον,n,n-s---nn2-,σωλαρίου,,,,,0
97786,σ08495,σωλήν,n,n-s---mn3n,σωλῆνος,,,/sɔː.lɛ̌ːn/,,0
97787,σ08496,σωληνάριον,n,n-s---nn2-,σωληναρίου,,,/sɔː.lɛː.ná.ri.on/,,0
97788,σ08497,σωληνεύομαι,v,----------,,,,,,0
97789,σ08498,σωληνίδιον,n,n-s---nn2-,σωληνιδίου,,,,,0
97790,σ08499,σωληνίζω,v,----------,,,,,,0
97791,σ08500,σωληνικός,a,aps---mn1-,σωληνικός σωληνική σωληνικόν,,,,,0
97792,σ08501,σωλήνιον,n,n-s---nn2-,σωληνίου,,,,,0
97793,σ08502,σωληνίσκος,n,n-s---mn2-,σωληνίσκου,,,,,0
97794,σ08503,σωληνισμός,n,----------,,,,,,0
97795,σ08504,σωληνιστής,n,n-s---mn1e,σωληνιστού,,,,,0
97797,σ08506,σωληνοθήρας,n,n-s---mn1a,σωληνοθήρου,,,,,0
97798,σ08507,σωληνοκέντης,n,n-s---mn1e,σωληνοκέντου,,,,,0
97799,σ08508,σωληνόομαι,v,----------,,,,,,0
97800,σ08511,σωλῆνος,n,n-s---mn2-,σωλήνου,,,,,0
97801,σ08509,σωληνώδης,a,aps---cn3s,σωληνώδης σωληνώδης σωληνώ͂δες,,,,,0
97802,σ08510,σωληνωτός,a,aps---mn1-,σωληνωτός σωληνωτή σωληνωτόν,,,,,0
97803,σ02179,σῶμα,n,n-s---nn3t,σώματος,,,/sɔ̂ː.ma/,,0
97804,σ02180,σῶμαι,v,----------,,,,,,0
97805,σ08512,σωμάριστρον,n,----------,,,,,,0
97806,σ08513,σωμασκέω,v,----------,,,,,,0
97754,σ08471,σχολαρχέω,v,----------,,,,,,0
97809,σ08516,σωμασκίας,n,n-s---mn1a,σωμασκίου,,,,,0
97810,σ08520,σωματεῖον,n,n-s---nn2-,σωματείου,,,,,0
97812,σ08518,σωματεμπορέω,v,----------,,,,,,0
97813,σ08519,σωματέμπορος,a,aps---cn2-,σωματέμπορος σωματέμπορος σωματέμπορον,,,,,0
97814,σ08521,σωματηγέω,v,----------,,,,,,0
97815,σ08522,σωματηγός,a,aps---cn2-,σωματηγός σωματηγός σωματηγόν,,,,,0
97816,σ08523,σωματίδιον,n,n-s---nn2-,σωματιδίου,,,,,0
97817,σ08524,σωματίζω,v,----------,,,,,,0
97818,σ08525,σωματικός,a,aps---mn1-,σωματικός σωματική σωματικόν,,,,,0
97819,σ08526,σωμάτινος,a,aps---mn1-,σωμάτινος σωματίνη σωμάτινον,,,,,0
97820,σ08527,σωμάτιον,n,n-s---nn2-,σωματίου,,,,,0
97821,σ08528,σωματισμός,n,----------,,,,,,0
97822,σ08529,σωματοβλάβεια,n,n-s---fn1s,σωματοβλάβειας,,,,,0
97824,σ08531,σωματοθήκη,n,n-s---fn1e,σωματοθήκης,,,,,0
97825,σ08532,σωματοθήκιον,n,n-s---nn2-,σωματοθηκίου,,,,,0
97826,σ08533,σωματομαχέω,v,----------,,,,,,0
97827,σ08534,σωματοπλαστέω,v,----------,,,,,,0
97829,σ08536,σωματοποιέω,v,----------,,,,,,0
97830,σ08537,σωματοποίησις,n,n-s---fn3v,σωματοποιησέως,,,,,0
97831,σ08538,σωματοποιία,n,n-s---fn1l,σωματοποιίας,,,,,0
97833,σ08540,σωματότης,n,n-s---fn3t,σωματότητος,,,,,0
97834,σ08541,σωματοτροφεῖον,n,n-s---nn2-,σωματοτροφείου,,,,,0
97835,σ08542,σωματουργέω,v,----------,,,,,,0
97836,σ08543,σωματουργία,n,n-s---fn1l,σωματουργίας,,,,,0
97837,σ08544,σωματουργικός,a,aps---cn2-,σωματουργικός σωματουργικός σωματουργικόν,,,,,0
97838,σ08545,σωματουργός,a,aps---cn2-,σωματουργός σωματουργός σωματουργόν,,,,,0
97839,σ08546,σωματοφθορέω,v,----------,,,,,,0
97841,σ08548,σωματοφόρος,a,aps---cn2-,σωματοφόρος σωματοφόρος σωματοφόρον,,,,,0
97842,σ08549,σωματοφρουρητήρ,n,n-s---mn3r,σωματοφρουρητῆρος,,,,,0
97843,σ08550,σωματοφυής,a,aps---cn5s,σωματοφυής σωματοφυής σωματοφυές,,,,,0
97844,σ08551,σωματοφυλακέω,v,----------,,,,,,0
97845,σ08552,σωματοφυλακία,n,n-s---fn1l,σωματοφυλακίας,,,,,0
97846,σ08553,σωματοφυλάκιον,n,n-s---nn2-,σωματοφυλακίου,,,,,0
97847,σ08554,σωματοφύλαξ,n,----------,,,,,,0
97848,σ08555,σωματόω,v,----------,,,,,,0
97849,σ08556,σωματώδης,a,aps---cn3s,σωματώδης σωματώδης σωματώ͂δες,,,,,0
97850,σ08557,σωμάτωσις,n,n-s---fn3v,σωματωσέως,,,,,0
97851,σ08558,σωμελής,a,aps---cn5s,σωμελής σωμελής σωμελές,,,,,0
97852,σ08559,σωννύω,v,----------,,,,,,0
97853,σ08560,σώομαι,v,----------,,,,,,0
97854,σ02331,σῶος,n,----------,,,,,,0
97808,σ08515,σωμασκία,n,n-s---fn1l,σωμασκίας,,,,,0
97860,σ08564,σωρακίς,n,n-s---fn3d,σωρακίδος,,,,,0
97861,σ08565,σώρακος,n,n-s---mn2-,σωράκου,,,,,0
97862,σ08566,σωράνθεμις,n,----------,,,,,,0
97863,σ08567,σωρεία,n,n-s---fn1l,σωρείας,,,,,0
97864,σ08568,σωρείτης,n,n-s---mn1e,,,,/sɔː.rěː.tɛːs/,,0
97865,σ08569,σωρεός,n,----------,,,,,,0
97866,σ08570,σώρευμα,n,n-s---nn3t,σωρεύματος,,,,,0
97869,σ08573,σωρευτικός,a,aps---mn1-,σωρευτικός σωρευτική σωρευτικόν,,,,,0
97870,σ08574,σωρευτός,a,aps---mn1-,σωρευτός σωρευτή σωρευτόν,,,,,0
97871,σ08575,σωρεύω,v,----------,,,,/sɔː.reú̯.ɔː/,,0
97872,σ08576,σωρηδόν,r,----------,,,,,,0
97873,σ02813,σῶρι,n,----------,,,,,,0
97874,σ08577,σωρικός,n,----------,,,,,,0
97875,σ08578,σωρίτης,n,n-s---mn1e,σωρίτου,,,/sɔː.rǐː.tɛːs/,,0
97877,σ08584,σωρῖτις,n,n-s---fn3d,σωρίτιδος,,,,,0
97878,σ08580,σωροβόλιον,n,n-s---nn2-,σωροβολίου,,,,,0
97879,σ08581,σωροειδής,a,aps---cn5s,σωροειδής σωροειδής σωροειδές,,,,,0
97880,σ08582,σωρός,n,n-s---mn2-,σωροῦ,,,/sɔː.rós/,,0
97881,σ08583,σωρότερος,n,n-s---mn2-,σωροτέρου,,,,,0
97882,σ02816,σῶρυ,n,----------,,,,,,0
97883,σ02818,σῶς,a,----------,,,,,,0
97884,σ02819,σῶς,n,----------,,,,,,0
97886,σ08586,σωσάνιον,n,n-s---nn2-,σωσανίου,,,,,0
97887,σ08587,σωσίοικος,n,----------,,,,,,0
97888,σ08588,σωσίπολις,n,----------,,,,,,0
97889,σ08589,σωστέος,a,aps---mn1-,σωστέος σωστέα σωστέον,,,,,0
97891,σ08591,σωστός,a,aps---mn1-,σωστός σωστή σωστόν,,,,,0
97892,σ02821,σῶστρα,n,n-p---nn2-,σώστρων,,,,,0
97893,σ08592,σώτειρα,n,n-s---fn1s,σώτειρας,,,,,0
97894,σ08593,σωτέος,n,----------,,,,,,0
97895,σ08594,σωτήρ,n,n-s---mn3r,σωτῆρος,,,/sɔː.tɛ̌ːr/,,0
97896,σ08595,σωτηρία,n,n-s---fn1l,σωτηρίας,,,/sɔː.tɛː.rí.aː/,,0
